,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Producation_area_factor,zone
375,Andhra Pradesh,ANANTAPUR,2001,Whole Year,Coconut,851.0,3053700.0,3588.3666274970624,South India
422,Andhra Pradesh,ANANTAPUR,2002,Whole Year,Coconut,869.0,3691149.0,4247.5822784810125,South India
479,Andhra Pradesh,ANANTAPUR,2003,Whole Year,Coconut,839.0,3285828.0,3916.362336114422,South India
528,Andhra Pradesh,ANANTAPUR,2004,Whole Year,Coconut,837.0,6413350.0,7662.305854241338,South India
569,Andhra Pradesh,ANANTAPUR,2005,Whole Year,Coconut,836.0,3358992.0,4017.933014354067,South India
609,Andhra Pradesh,ANANTAPUR,2006,Whole Year,Coconut,790.0,6404076.0,8106.425316455696,South India
665,Andhra Pradesh,ANANTAPUR,2008,Whole Year,Coconut,786.0,7141464.0,9085.832061068702,South India
705,Andhra Pradesh,ANANTAPUR,2009,Whole Year,Coconut,725.0,4247685.0,5858.875862068966,South India
790,Andhra Pradesh,ANANTAPUR,2011,Whole Year,Coconut,895.0,7165320.0,8005.944134078212,South India
855,Andhra Pradesh,ANANTAPUR,2012,Whole Year,Coconut,646.0,5571000.0,8623.839009287925,South India
920,Andhra Pradesh,ANANTAPUR,2013,Whole Year,Coconut,552.0,3969000.0,7190.217391304348,South India
989,Andhra Pradesh,ANANTAPUR,2014,Whole Year,Coconut,687.0,5756000.0,8378.457059679768,South India
1110,Andhra Pradesh,CHITTOOR,2000,Whole Year,Coconut,4011.0,17215660.0,4292.111692844677,South India
1156,Andhra Pradesh,CHITTOOR,2001,Whole Year,Coconut,4133.0,14827800.0,3587.6602951850955,South India
1206,Andhra Pradesh,CHITTOOR,2002,Whole Year,Coconut,4296.0,17209269.0,4005.8819832402237,South India
1266,Andhra Pradesh,CHITTOOR,2003,Whole Year,Coconut,4294.0,16827552.0,3918.852352119236,South India
1320,Andhra Pradesh,CHITTOOR,2004,Whole Year,Coconut,4165.0,31934060.0,7667.241296518608,South India
1361,Andhra Pradesh,CHITTOOR,2005,Whole Year,Coconut,3914.0,15729168.0,4018.69391926418,South India
1404,Andhra Pradesh,CHITTOOR,2006,Whole Year,Coconut,4307.0,34924554.0,8108.7889482238215,South India
1464,Andhra Pradesh,CHITTOOR,2008,Whole Year,Coconut,3915.0,35594856.0,9091.917241379311,South India
1505,Andhra Pradesh,CHITTOOR,2009,Whole Year,Coconut,3893.0,22798170.0,5856.195735936296,South India
1590,Andhra Pradesh,CHITTOOR,2011,Whole Year,Coconut,3663.0,29376960.0,8019.9180999181,South India
1656,Andhra Pradesh,CHITTOOR,2012,Whole Year,Coconut,3351.0,28899000.0,8623.992837958818,South India
1718,Andhra Pradesh,CHITTOOR,2013,Whole Year,Coconut,2760.0,19847000.0,7190.942028985507,South India
1778,Andhra Pradesh,CHITTOOR,2014,Whole Year,Coconut,3465.0,29033000.0,8378.932178932178,South India
1907,Andhra Pradesh,EAST GODAVARI,2000,Whole Year,Coconut,48237.0,588584535.0,12201.930779277318,South India
1953,Andhra Pradesh,EAST GODAVARI,2001,Whole Year,Coconut,48515.0,629772990.0,12980.995362259095,South India
2001,Andhra Pradesh,EAST GODAVARI,2002,Whole Year,Coconut,49479.0,685943720.0,13863.330301744174,South India
2057,Andhra Pradesh,EAST GODAVARI,2003,Whole Year,Coconut,48854.0,683171460.0,13983.941130716012,South India
2106,Andhra Pradesh,EAST GODAVARI,2004,Whole Year,Coconut,49381.0,674125653.0,13651.518863530508,South India
2149,Andhra Pradesh,EAST GODAVARI,2005,Whole Year,Coconut,49692.0,369060890.0,7426.9679224019965,South India
2193,Andhra Pradesh,EAST GODAVARI,2006,Whole Year,Coconut,49592.0,613037376.0,12361.618325536378,South India
2256,Andhra Pradesh,EAST GODAVARI,2008,Whole Year,Coconut,50214.0,492936570.0,9816.71585613574,South India
2298,Andhra Pradesh,EAST GODAVARI,2009,Whole Year,Coconut,50247.0,527381820.0,10495.787211176787,South India
2378,Andhra Pradesh,EAST GODAVARI,2011,Whole Year,Coconut,50741.0,719961050.0,14188.94089592243,South India
2432,Andhra Pradesh,EAST GODAVARI,2012,Whole Year,Coconut,49516.0,729965000.0,14742.002585023023,South India
2488,Andhra Pradesh,EAST GODAVARI,2013,Whole Year,Coconut,49114.0,720895000.0,14677.994054648369,South India
2543,Andhra Pradesh,EAST GODAVARI,2014,Whole Year,Coconut,46865.0,780162000.0,16647.007361570468,South India
2657,Andhra Pradesh,GUNTUR,2000,Whole Year,Coconut,519.0,5555550.0,10704.335260115608,South India
2694,Andhra Pradesh,GUNTUR,2001,Whole Year,Coconut,491.0,5426352.0,11051.633401221996,South India
2740,Andhra Pradesh,GUNTUR,2002,Whole Year,Coconut,399.0,4488408.0,11249.142857142857,South India
2796,Andhra Pradesh,GUNTUR,2003,Whole Year,Coconut,380.0,4497480.0,11835.473684210527,South India
2844,Andhra Pradesh,GUNTUR,2004,Whole Year,Coconut,215.0,2528312.0,11759.590697674419,South India
2879,Andhra Pradesh,GUNTUR,2005,Whole Year,Coconut,222.0,1941072.0,8743.567567567568,South India
2912,Andhra Pradesh,GUNTUR,2006,Whole Year,Coconut,213.0,2747097.0,12897.169014084508,South India
2964,Andhra Pradesh,GUNTUR,2008,Whole Year,Coconut,157.0,1435126.0,9140.929936305733,South India
2999,Andhra Pradesh,GUNTUR,2009,Whole Year,Coconut,136.0,1539810.0,11322.132352941177,South India
3073,Andhra Pradesh,GUNTUR,2011,Whole Year,Coconut,125.0,1757728.0,14061.824,South India
3127,Andhra Pradesh,GUNTUR,2012,Whole Year,Coconut,118.0,2016000.0,17084.745762711864,South India
3179,Andhra Pradesh,GUNTUR,2013,Whole Year,Coconut,111.0,1840000.0,16576.576576576575,South India
3230,Andhra Pradesh,GUNTUR,2014,Whole Year,Coconut,112.0,2428000.0,21678.571428571428,South India
3362,Andhra Pradesh,KADAPA,2000,Whole Year,Coconut,146.0,625240.0,4282.465753424657,South India
3410,Andhra Pradesh,KADAPA,2001,Whole Year,Coconut,148.0,530400.0,3583.7837837837837,South India
3458,Andhra Pradesh,KADAPA,2002,Whole Year,Coconut,155.0,658350.0,4247.419354838709,South India
3512,Andhra Pradesh,KADAPA,2003,Whole Year,Coconut,104.0,406980.0,3913.269230769231,South India
3563,Andhra Pradesh,KADAPA,2004,Whole Year,Coconut,95.0,725372.0,7635.494736842105,South India
3605,Andhra Pradesh,KADAPA,2005,Whole Year,Coconut,96.0,384384.0,4004.0,South India
3647,Andhra Pradesh,KADAPA,2006,Whole Year,Coconut,92.0,744660.0,8094.130434782609,South India
3709,Andhra Pradesh,KADAPA,2008,Whole Year,Coconut,126.0,1143384.0,9074.47619047619,South India
3753,Andhra Pradesh,KADAPA,2009,Whole Year,Coconut,127.0,745965.0,5873.740157480315,South India
3847,Andhra Pradesh,KADAPA,2011,Whole Year,Coconut,132.0,1056480.0,8003.636363636364,South India
3920,Andhra Pradesh,KADAPA,2012,Whole Year,Coconut,114.0,983000.0,8622.807017543859,South India
3986,Andhra Pradesh,KADAPA,2013,Whole Year,Coconut,90.0,647000.0,7188.888888888889,South India
4054,Andhra Pradesh,KADAPA,2014,Whole Year,Coconut,121.0,1014000.0,8380.165289256198,South India
4157,Andhra Pradesh,KRISHNA,2000,Whole Year,Coconut,1520.0,16273950.0,10706.546052631578,South India
4194,Andhra Pradesh,KRISHNA,2001,Whole Year,Coconut,1789.0,19782864.0,11058.05701509223,South India
4238,Andhra Pradesh,KRISHNA,2002,Whole Year,Coconut,1889.0,21255984.0,11252.506087877184,South India
4293,Andhra Pradesh,KRISHNA,2003,Whole Year,Coconut,1726.0,20407920.0,11823.823870220162,South India
4338,Andhra Pradesh,KRISHNA,2004,Whole Year,Coconut,1693.0,19892568.0,11749.892498523332,South India
4372,Andhra Pradesh,KRISHNA,2005,Whole Year,Coconut,1627.0,14192976.0,8723.40258143823,South India
4404,Andhra Pradesh,KRISHNA,2006,Whole Year,Coconut,1648.0,21220329.0,12876.41322815534,South India
